,DeploymentID,HydrophoneArray,SensorNumber_1,HydrophoneType_1,SerialNumber_1,HydrophoneSensitivity_1,Current_mA_1,SensorNumber_2,HydrophoneType_2,SerialNumber_2,HydrophoneSensitivity_2,Current_mA_2,SensorNumber_3,HydrophoneType_3,SerialNumber_3,HydrophoneSensitivity_3,Current_mA_3
1,ADRIFT_001,W01_9299,1,HTI-92-WB,856135,-155.1,1.19,2,HTI-99-HF,856147,-160.1,1.09,3,NA,NA,NA,NA
2,ADRIFT_002,K01_9296,1,HTI-92-WB,856097,-155.6,1.12,2,HTI-96-MIN,856059,-165,1.14,3,NA,NA,NA,NA
3,ADRIFT_003,P01_9296,1,HTI-92-WB,856122,-155.6,1.11,2,HTI-96-MIN,856121,-165.8,1.11,3,NA,NA,NA,NA
4,ADRIFT_005,P01_9296,1,HTI-92-WB,856122,-155.6,1.11,2,HTI-96-MIN,856121,-165.8,1.11,3,NA,NA,NA,NA
5,ADRIFT_006,M01_9296,1,HTI-92-WB,856116,-155.2,1.12,2,HTI-96-MIN,856120,-165.8,1.09,3,NA,NA,NA,NA
6,ADRIFT_007,M01_9296,1,HTI-92-WB,856116,-155.2,1.12,2,HTI-96-MIN,856120,-165.8,1.09,3,NA,NA,NA,NA
7,ADRIFT_012,D02_9299,1,HTI-92-WB,856162,-155.3,1.17,2,HTI-99-HF,856168,-159.6,1.08,3,NA,NA,NA,NA
8,ADRIFT_013,E02_9299,1,HTI-92-WB,856163,-155.5,1.15,2,HTI-99-HF,856171,-159.7,1.1,3,NA,NA,NA,NA
9,ADRIFT_015,K02_9299,1,HTI-92-WB,856154,-155.2,1.13,2,HTI-99-HF,856170,-159.8,1.13,3,NA,NA,NA,NA
10,ADRIFT_016,N01_92NA96,1,HTI-92-WB,856117,-155.3,1.14,2,HTI-99-HF,856128,-164.9,1.16,3,HTI-96-MIN,856118,-165.7,1.17
11,ADRIFT_017,D02_9299,1,HTI-92-WB,856162,-155.3,1.17,2,HTI-99-HF,856168,-159.6,1.08,3,NA,NA,NA,NA
12,ADRIFT_018,C02_9299,1,HTI-92-WB,856155,-155.5,1.1,2,HTI-99-HF,856166,-159.3,1.23,3,NA,NA,NA,NA
13,ADRIFT_019,L02_9299,1,HTI-92-WB,856157,-155.4,1.21,2,HTI-99-HF,856169,-159.5,1.14,3,NA,NA,NA,NA
14,ADRIFT_020,A02_9299,1,HTI-92-WB,856156,-155.2,1.14,2,HTI-99-HF,856167,-159.8,1.14,3,NA,NA,NA,NA
15,ADRIFT_021,F02_9299,1,HTI-92-WB,856164,-155.1,1.22,2,HTI-99-HF,856175,-159.9,1.11,3,NA,NA,NA,NA
16,ADRIFT_022,H02_9299,1,HTI-92-WB,856159,-155.4,1.19,2,HTI-99-HF,856177,-159.8,1.22,3,NA,NA,NA,NA
17,ADRIFT_023,X01_9299,1,HTI-92-WB,856140,-155.1,1.09,2,HTI-99-HF,856150,-160.3,1.17,3,NA,NA,NA,NA
18,ADRIFT_024,E02_9299,1,HTI-92-WB,856163,-155.5,1.15,2,HTI-99-HF,856171,-159.7,1.1,3,NA,NA,NA,NA
19,ADRIFT_025,Z01_9299,1,HTI-92-WB,856135,-155.1,1.19,2,HTI-99-HF,856148,-160.2,1.14,3,NA,NA,NA,NA
20,ADRIFT_026,B02_9299,1,HTI-92-WB,856165,-155.4,1.19,2,HTI-99-HF,856173,-159.5,1.18,3,NA,NA,NA,NA
21,ADRIFT_027,N01_92NA96,1,HTI-92-WB,856117,-155.3,1.14,2,HTI-99-HF,856128,-164.9,1.16,3,HTI-96-MIN,856118,-165.7,1.17
22,ADRIFT_028,K02_9299,1,HTI-92-WB,856154,-155.2,1.13,2,HTI-99-HF,856170,-159.8,1.13,3,NA,NA,NA,NA
23,ADRIFT_030,G02_9299,1,HTI-92-WB,856161,-155.3,1.18,2,HTI-99-HF,856176,-159.6,1.2,3,NA,NA,NA,NA
24,ADRIFT_031,C02_9299,1,HTI-92-WB,856155,-155.5,1.1,2,HTI-99-HF,856166,-159.3,1.23,3,NA,NA,NA,NA
25,ADRIFT_032,C02_9299,1,HTI-92-WB,856155,-155.5,1.1,2,HTI-99-HF,856166,-159.3,1.23,3,NA,NA,NA,NA
26,ADRIFT_033,D02_9299,1,HTI-92-WB,856162,-155.3,1.17,2,HTI-99-HF,856168,-159.6,1.08,3,NA,NA,NA,NA
27,ADRIFT_034,K02_9299,1,HTI-92-WB,856154,-155.2,1.13,2,HTI-99-HF,856170,-159.8,1.13,3,NA,NA,NA,NA
28,ADRIFT_035,N01_92NA96,1,HTI-92-WB,856117,-155.3,1.14,2,HTI-99-HF,856128,-164.9,1.16,3,HTI-96-MIN,856118,-165.7,1.17
29,ADRIFT_036,C02_9299,1,HTI-92-WB,856155,-155.5,1.1,2,HTI-99-HF,856166,-159.3,1.23,3,NA,NA,NA,NA
30,ADRIFT_037,D02_9299,1,HTI-92-WB,856162,-155.3,1.17,2,HTI-99-HF,856168,-159.6,1.08,3,NA,NA,NA,NA
31,ADRIFT_038,G02_9299,1,HTI-92-WB,856161,-155.3,1.18,2,HTI-99-HF,856176,-159.6,1.2,3,NA,NA,NA,NA
32,ADRIFT_039,C02_9299,1,HTI-92-WB,856155,-155.5,1.1,2,HTI-99-HF,856166,-159.3,1.23,3,NA,NA,NA,NA
33,ADRIFT_040,D02_9299,1,HTI-92-WB,856162,-155.3,1.17,2,HTI-99-HF,856168,-159.6,1.08,3,NA,NA,NA,NA
34,ADRIFT_041,G02_9299,1,HTI-92-WB,856161,-155.3,1.18,2,HTI-99-HF,856176,-159.6,1.2,3,NA,NA,NA,NA
35,ADRIFT_042,E02_9299,1,HTI-92-WB,856163,-155.5,1.15,2,HTI-99-HF,856171,-159.7,1.1,3,NA,NA,NA,NA
36,ADRIFT_043,H02_9299,1,HTI-92-WB,856159,-155.4,1.19,2,HTI-99-HF,856177,-159.8,1.22,3,NA,NA,NA,NA
37,ADRIFT_044,T_9299,1,HTI-92-WB,856136,-155.4,1.11,2,HTI-99-HF,856145,-160.1,1.1,3,NA,NA,NA,NA
38,ADRIFT_045,V01_9299,1,HTI-92-WB,856138,-155.3,1.17,2,HTI-99-HF,856151,-160.3,1.12,3,NA,NA,NA,NA
39,ADRIFT_046,J02_9299,1,HTI-92-WB,856158,-155.1,1.19,2,HTI-99-HF,856172,-159.7,1.11,3,NA,NA,NA,NA
40,ADRIFT_047,N01_92NA96,1,HTI-92-WB,856117,-155.3,1.14,2,HTI-99-HF,856128,-164.9,1.16,3,HTI-96-MIN,856118,-165.7,1.17
41,ADRIFT_048,L02_9299,1,HTI-92-WB,856157,-155.4,1.21,2,HTI-99-HF,856169,-159.5,1.14,3,NA,NA,NA,NA
42,ADRIFT_049,X01_9299,1,HTI-92-WB,856140,-155.1,1.09,2,HTI-99-HF,856150,-160.3,1.17,3,NA,NA,NA,NA
43,ADRIFT_050,B02_9299,1,HTI-92-WB,856165,-155.4,1.19,2,HTI-99-HF,856173,-159.5,1.18,3,NA,NA,NA,NA
44,ADRIFT_051,K02_9299,1,HTI-92-WB,856154,-155.2,1.13,2,HTI-99-HF,856170,-159.8,1.13,3,NA,NA,NA,NA
45,ADRIFT_052,F02_9299,1,HTI-92-WB,856164,-155.1,1.22,2,HTI-99-HF,856175,-159.9,1.11,3,NA,NA,NA,NA
