Project,DeploymentID,HydrophoneType_1,SerialNumber_1,HydrophoneSensitivity_1,Current_mA_1,HighPassFilter
ADRIFT,ADRIFT_001,HTI-92-WB,856135,-155.1,1.19,
ADRIFT,ADRIFT_002,HTI-92-WB,856097,-155.6,1.12,
ADRIFT,ADRIFT_003,HTI-92-WB,856122,-155.6,1.11,
ADRIFT,ADRIFT_005,HTI-92-WB,856122,-155.6,1.11,
ADRIFT,ADRIFT_006,HTI-92-WB,856116,-155.2,1.12,
ADRIFT,ADRIFT_007,HTI-92-WB,856116,-155.2,1.12,
ADRIFT,ADRIFT_012,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_013,HTI-92-WB,856163,-155.5,1.15,
ADRIFT,ADRIFT_015,HTI-92-WB,856154,-155.2,1.13,
ADRIFT,ADRIFT_016,HTI-92-WB,856117,-155.3,1.14,
ADRIFT,ADRIFT_017,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_018,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_019,HTI-92-WB,856157,-155.4,1.21,
ADRIFT,ADRIFT_020,HTI-92-WB,856156,-155.2,1.14,
ADRIFT,ADRIFT_021,HTI-92-WB,856164,-155.1,1.22,
ADRIFT,ADRIFT_022,HTI-92-WB,856159,-155.4,1.19,
ADRIFT,ADRIFT_023,HTI-92-WB,856140,-155.1,1.09,
ADRIFT,ADRIFT_024,HTI-92-WB,856163,-155.5,1.15,
ADRIFT,ADRIFT_025,HTI-92-WB,856135,-155.1,1.19,
ADRIFT,ADRIFT_026,HTI-92-WB,856165,-155.4,1.19,
ADRIFT,ADRIFT_027,HTI-92-WB,856117,-155.3,1.14,
ADRIFT,ADRIFT_028,HTI-92-WB,856154,-155.2,1.13,
ADRIFT,ADRIFT_030,HTI-92-WB,856161,-155.3,1.18,
ADRIFT,ADRIFT_031,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_032,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_033,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_034,HTI-92-WB,856154,-155.2,1.13,
ADRIFT,ADRIFT_035,HTI-92-WB,856117,-155.3,1.14,
ADRIFT,ADRIFT_036,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_037,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_038,HTI-92-WB,856161,-155.3,1.18,
ADRIFT,ADRIFT_039,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_040,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_041,HTI-92-WB,856161,-155.3,1.18,
ADRIFT,ADRIFT_042,HTI-92-WB,856163,-155.5,1.15,
ADRIFT,ADRIFT_043,HTI-92-WB,856159,-155.4,1.19,
ADRIFT,ADRIFT_044,HTI-92-WB,856136,-155.4,1.11,
ADRIFT,ADRIFT_045,HTI-92-WB,856138,-155.3,1.17,
ADRIFT,ADRIFT_046,HTI-92-WB,856158,-155.1,1.19,
ADRIFT,ADRIFT_047,HTI-92-WB,856117,-155.3,1.14,
ADRIFT,ADRIFT_048,HTI-92-WB,856157,-155.4,1.21,
ADRIFT,ADRIFT_049,HTI-92-WB,856140,-155.1,1.09,
ADRIFT,ADRIFT_050,HTI-92-WB,856165,-155.4,1.19,
ADRIFT,ADRIFT_051,HTI-92-WB,856154,-155.2,1.13,
ADRIFT,ADRIFT_052,HTI-92-WB,856164,-155.1,1.22,
ADRIFT,ADRIFT_053,HTI-92-WB,856135,-155.1,1.19,
ADRIFT,ADRIFT_054,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_055,HTI-92-WB,856161,-155.3,1.18,
ADRIFT,ADRIFT_056,HTI-92-WB,856156,-155.2,1.14,
ADRIFT,ADRIFT_057,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_058,HTI-92-WB,856163,-155.5,1.15,
ADRIFT,ADRIFT_059,HTI-92-WB,856159,-155.4,1.19,
ADRIFT,ADRIFT_060,HTI-92-WB,856136,-155.4,1.11,
ADRIFT,ADRIFT_061,HTI-92-WB,856138,-155.3,1.17,
ADRIFT,ADRIFT_062,HTI-92-WB,856163,-155.5,1.15,
ADRIFT,ADRIFT_063,HTI-92-WB,856159,-155.4,1.19,
ADRIFT,ADRIFT_064,HTI-92-WB,856136,-155.4,1.11,
ADRIFT,ADRIFT_065,HTI-92-WB,856138,-155.3,1.17,
ADRIFT,ADRIFT_066,HTI-92-WB,856154,-155.2,1.13,
ADRIFT,ADRIFT_067,HTI-92-WB,856158,-155.1,1.19,
ADRIFT,ADRIFT_068,HTI-92-WB,856155,-155.5,1.1,
ADRIFT,ADRIFT_069,HTI-92-WB,856161,-155.3,1.18,
ADRIFT,ADRIFT_070,HTI-92-WB,856156,-155.2,1.14,
ADRIFT,ADRIFT_071,HTI-92-WB,856162,-155.3,1.17,
ADRIFT,ADRIFT_072,HTI-92-WB,856163,-155.5,1.15,
