Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID,GPS_Tracker,GPS_ID,GPS_Timing,Depth_Sensor,Deployment_Latitude,Deployment_Longitude,Deployment_Date,"Deployment_Depth_m
",Deploy_Vessel,Recovery_Date,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name,Number_of_Sensors,ChannelNumber_1,SensorNumber_1,ChannelNumber_2,SensorNumber_2,ChannelNumber_3,SensorNumber_3,PreAmp_ID,Data_Start,Data_End,RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Analyst,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Number of SUD files,Known Takes,SanctuaryPermit,Personnel,Notes,DepthSensorType
CCES,4,HUM,CCES2018,Complete,drift,WCoastUSA,SM3M,SM3M_3,SPOT,E/K,,OT-6,45.0834,128.2082,07-25-2018 03:30:00,100,R/V Ruben Lasker,10-13-2018 00:36:00,41.7569,127.1545,R/V Ruben Lasker,3,2,1,856073,2,856040,NA,NA,NA,07-30-2018 00:00:00,10-12-2018 23:59:59,2,20,256,,compromised,0,256000,CCES_004,2,No,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,"Duty cycle 2/2 for 20 days then 2/18, Instrument noise at ~60kHz and 100kHz throughout drift",
CCES,7,HUM,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1208791071,SPOT,R/S,,LAT-5,41.2604,125.0157,08-05-2018 14:48:00,150,R/V Ruben Lasker,10-22-2018 09:00:00,42.04,124.485,R/V Ruben Lasker,12,2,1,856049,2,856068,NA,NA,NA,08-05-2018 15:27:50,09-22-2018 18:09:50,2,20,288,Cory Hom-Weaver,good,20,288000,CCES_007,NA,No,NA,NA,NA,NA,NA,NA,No,No,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,"Drift 7 grounded and was retrieved by Gary Friedrichson using his small boat from shore around 1900 UTC on 9/22/2018, low frequency strumming under 100 Hz",
CCES,8,HUM,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1678016538,SPOT,T/U,,LAT-6,38.9485,126.6449,08-16-2018 02:34:00,150,R/V Ruben Lasker,10-10-2018 16:53:00,34.3774,128.3174,R/V Ruben Lasker,D,2,1,856095,2,856041,NA,NA,NA,08-16-2018 04:38:04,10-01-2018 01:59:55,2,20,288,Cory Hom-Weaver,good,30,288000,CCES_008,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,Low frequency strumming under 50 Hz,
CCES,10,PTA,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1208786975,SPOT,Z/AA,,LAT-8,36.7607,125.0584,08-22-2018 02:11:00,150,R/V Ruben Lasker,10-22-2018 00:21:00,35.9671,122.9397,R/V Ruben Lasker,E,2,1,856096,2,856044,NA,NA,NA,08-22-2018 02:24:55,10-21-2018 23:48:58,2,20,576,Cory Hom-Weaver,good,30,576000,CCES_010,NA,No,NA,NA,NA,NA,NA,NA,No,No,10,No,NA,NA,NA,NA,NA,,NA,MBNMS,NA,Low frequency strumming under 30 Hz,
CCES,12,MOB,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1544081436,SPOT,C/D,,LAT-10,34.8303,123.8146,08-30-2018 02:34:00,150,R/V Ruben Lasker,10-06-2018 17:08:00,34.0316,124.3911,R/V Ruben Lasker,G,2,1,856097,2,856017,NA,NA,NA,08-30-2018 02:58:44,10-06-2018 17:00:44,2,20,288,Cory Hom-Weaver,good,20,288000,CCES_012,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,Low frequency strumming under 100 Hz,
CCES,13,CHI,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1677738025,SPOT,X/Y,,LAT-11,33.898,120.9078,09-11-2018 20:35:00,150,R/V Ruben Lasker,10-23-2018 14:34:00,31.4444,119.7754,R/V Ruben Lasker,H,2,1,856051,2,856067,NA,NA,NA,09-11-2018 20:56:28,10-23-2018 13:58:28,2,20,288,Cory Hom-Weaver,good,25,288000,CCES_013,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,NA,NA,NA,NA,NA,,NA,CHNMS,NA,Low frequency strumming under 50 Hz,
CCES,14,BCN,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1208791071,SPOT,A/B,,LAT-5,32.2688,118.2563,10-05-2018 05:46:00,150,R/V Ruben Lasker,11-01-2018 16:55:00,31.9507,119.2481,R/V Ruben Lasker,J,2,1,856048,2,856059,NA,NA,NA,10-05-2018 06:01:04,11-01-2018 16:43:04,2,20,576,Cory Hom-Weaver,good,30,576000,CCES_014,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,Low frequency strumming under 30 Hz,
CCES,16,BCN,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1543770129,SPOT,R/S,,NA,31.3534,117.4199,10-30-2018 14:33:00,150,R/V Ruben Lasker,11-21-2018 04:18:00,32.1253,118.0337,R/V Ruben Lasker,12,2,1,856049,2,856068,NA,NA,NA,10-30-2018 14:49:37,11-15-2018 23:01:37,2,10,576,Cory Hom-Weaver,good,30,576000,CCES_016,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,Low frequency strumming under 50 Hz,
CCES,17,BCN,CCES2018,Complete,drift,WCoastUSA,SM3M,SM3M_3,SPOT,E/K,,OT-6,30.725,118.6933,10-31-2018 00:02:00,100,R/V Ruben Lasker,11-24-2018 04:31:00,28.2857,118.4385,R/V Ruben Lasker,3,2,1,856073,2,856040,NA,NA,NA,10-31-2018 00:00:00,11-24-2018 04:30:00,2,4,256,,compromised,0,256000,CCES_017,2,No,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,NA,
CCES,18,BCN,CCES2018,Complete,drift,WCoastUSA,ST4300HF,1208786975,SPOT,Z/AA,,LAT-8,30.0108,120.1815,10-31-2018 09:58:00,150,R/V Ruben Lasker,11-23-2018 18:41:00,29.5059,118.8216,R/V Ruben Lasker,E,2,1,856096,2,856044,NA,NA,NA,10-31-2018 10:05:29,11-16-2018 04:12:29,2,6,576,Cory Hom-Weaver,good,0,576000,CCES_018,NA,No,NA,NA,NA,NA,NA,NA,No,No,10,No,NA,NA,NA,NA,NA,,NA,No NMS entered,NA,NA,
