Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID,GPS_Tracker,GPS_ID,GPS_Timing,Depth_Sensor,Deployment_Latitude,Deployment_Longitude,Deployment_Date,"Deployment_Depth_m
",Deploy_Vessel,Recovery_Date,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name,Number_of_Sensors,ChannelNumber_1,SensorNumber_1,ChannelNumber_2,SensorNumber_2,ChannelNumber_3,SensorNumber_3,PreAmp_ID,Data_Start,Data_End,RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Analyst,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Number of SUD files,Known Takes,SanctuaryPermit,Personnel,Notes
PASCAL,1,ORE,Pascal,Complete,drift,WCoastUSA,ST4300,8505,Spot,"F, G",NA,NA,44.35261667,-125.3065833,8/19/2016 17:14,100,R/V Shimada,8/31/2016 15:04,43.28963,-126.28662,R/V Shimada,B-5,2,1,856052,2,856063,n/a,n/a,NA,8/20/2016 02:20:07,8/31/2016 14:42:00,2,10,288,,compromised,250,144000,Pascal_001,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,
PASCAL,2,HUM,Pascal,Complete,drift,WCoastUSA,ST4300,773,Spot,"P, Q",NA,OT-1,41.48988333,-125.3636,8/21/2016 6:43,100,R/V Shimada,9/1/2016 2:19,41.89747,-125.31944,R/V Shimada,B-6,2,1,856061,2,856056,n/a,n/a,NA,8/20/2016 18:46:00,9/1/2016 02:04:00,2,10,288,,good,28,144000,Pascal_002,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,
PASCAL,3,MND,Pascal,Complete,drift,WCoastUSA,ST4300,2438,Spot,"R, S",NA,NA,38.57328333,-124.3630667,8/21/2016 10:41,100,R/V Shimada,9/2/2016 16:30,38.08465,-124.03339,R/V Shimada,B-7,2,1,856051,2,856067,n/a,n/a,NA,8/21/2016 10:47:16,9/2/2016 16:17:23,2,10,288,,compromised,250,144000,Pascal_003,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,"CBNMS, GFNMS",Shannon Rankin,
PASCAL,4,MBY,Pascal,Complete,drift,WCoastUSA,ST4300,2634,Spot,"T, U",NA,NA,36.34588333,-122.9485333,8/22/2016 0:34,100,R/V Shimada,9/3/2016 19:11,36.04671,-122.68306,R/V Shimada,B-8,2,1,856060,2,856058,n/a,n/a,NA,8/22/2016 00:34:38,9/3/2016 19:02:00,2,10,288,,good,70,144000,Pascal_004,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,
PASCAL,5,CHI,Pascal,Complete,drift,WCoastUSA,ST4300,8677,Spot,"X, Y",NA,OT-3,34.21,-121.4316667,8/22/2016 15:05,100,R/V Shimada,9/4/2016 22:51,33.99318,-121.7215,R/V Shimada,B-9,2,1,856048,2,856059,n/a,n/a,NA,8/22/2016 15:05:24,9/4/2016 22:44:00,2,10,288,,good,0,144000,Pascal_005,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,CHNMS,Shannon Rankin,
PASCAL,6,BCN,Pascal,Complete,drift,WCoastUSA,ST4300,6538,Spot,"Z, AA",NA,NA,32.19448333,-119.9124333,8/24/2016 13:00,100,R/V Shimada,9/12/2016 12:53,32.60741,-119.49986,R/V Shimada,B-10,2,1,856053,2,856064,n/a,n/a,NA,8/24/2016 13:00:00,8/30/2016 03:29:26,2,2,288,,compromised,230,144000,Pascal_006,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,"Recorded continuously instead of duty-cycle. LTSA looks noisy, possibly from electrical noise"
PASCAL,7,BCN,Pascal,Complete,drift,WCoastUSA,SM3M,SM3M #1,Spot,"Gen-C, A",NA,NA,31.36931667,-123.70755,8/25/2016 9:31,100,R/V Shimada,9/13/2016 9:29,30.24416,-122.39265,R/V Shimada,B-1,2,1,856045,2,856042,n/a,n/a,NA,8/25/2016 09:30:06,9/10/2016 18:24:54,Continuous,NA,256,,compromised,250,128000,Pascal_007,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,"SM3M recorders were set to record continuously, with each hour consisting of 29 2 min files at a 256 kHz sampling rate followed by one 2 min file at 96 kHz sampling rate (for cleaner ocean noise measurements. Electrical noise between 40-55kHz. Also LTSA reads normally until 9/10/2016 then something weird happened?"
PASCAL,8,CHI,Pascal,Complete,drift,WCoastUSA,SM2Bat,SM2+Bat #1,Spot,"H, I",NA,OT-4; SM2+,33.76465,-125.9156167,8/26/2016 4:56,100,R/V Shimada,9/14/2016 11:39,33.95017,-125.3851,R/V Shimada,W-1,2,1,856028,2,856025,n/a,n/a,NA,8/26/2016 04:56:14,9/14/2016 11:39:54,2,4,192,,compromised,250,96000,Pascal_008,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,"Noisy below 20 kHz; Good above. SM2Bat, banding throughout LTSA and recordings"
PASCAL,10,MND,Pascal,Complete,drift,WCoastUSA,SM3M,SM3M #2,Spot,"C, V",NA,OT-5,39.24718333,-129.1932167,8/27/2016 17:45,100,R/V Shimada,9/16/2016 4:22,39.1791,-129.75836,R/V Shimada,B-2,2,1,856046,2,856039,n/a,n/a,NA,8/27/2016 17:46:06,9/16/2016 04:11:32,Continuous,NA,256,,good,30,256000,Pascal_010,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,"SM3M recorders were set to record continuously, with each hour consisting of 29 2 min files at a 256 kHz sampling rate followed by one 2 min file at 96 kHz sampling rate (for cleaner ocean noise measurements. SM3M, banding throughout LTSA and recordings"
PASCAL,11,ORE,Pascal,Complete,drift,WCoastUSA,SM2Bat,SM2+Bat #2,Spot,"J, K",NA,SM2+,42.23778333,-129.8487333,8/28/2016 12:47,100,R/V Shimada,9/17/2016 4:18,42.7939,-129.8728,R/V Shimada,W-2,2,1,856019,2,856023,n/a,n/a,NA,8/28/2016 12:44:00,9/17/2016 04:12:00,2,4,192,,compromised,250,96000,Pascal_011,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,,NA,No NMS entered,Shannon Rankin,"SM2Bat, banding throughout LTSA and recordings. No depth data"
