"","driftID","dataStart","dataEnd","LowBand","HighBand","calib"
"1","ADRIFT_001",2021-08-22 12:00:00,2021-08-29 02:28:00,100,24000,160.8
"2","ADRIFT_003",2021-07-25 11:24:00,2021-08-03 09:30:00,100,24000,159.6
"3","ADRIFT_005",2021-06-10 11:12:00,2021-06-22 14:20:00,100,24000,159.6
"4","ADRIFT_006",2021-07-25 12:00:00,2021-07-28 15:28:00,100,24000,160.9
"5","ADRIFT_007",2021-06-10 10:10:00,2021-06-24 02:58:00,100,24000,160.9
"6","ADRIFT_012",2022-01-17 11:42:00,2022-01-21 03:38:00,100,24000,161
"7","ADRIFT_013",2022-04-23 06:44:00,2022-05-04 13:00:00,100,24000,159.5
"8","ADRIFT_018",2022-04-25 06:00:00,2022-04-28 06:00:00,100,24000,161.2
"9","ADRIFT_019",2022-06-21 09:14:00,2022-06-25 15:36:00,100,24000,159.4
"10","ADRIFT_020",2022-06-21 09:44:00,2022-06-25 11:00:00,100,24000,159.2
"11","ADRIFT_021",2022-06-21 09:44:00,2022-06-25 11:36:00,100,24000,159.1
"12","ADRIFT_022",2022-06-21 10:38:00,2022-06-25 10:00:00,100,24000,159.4
"13","ADRIFT_023",2022-06-21 11:52:00,2022-06-25 14:28:00,100,24000,159.1
"14","ADRIFT_024",2022-06-21 12:08:00,2022-06-25 13:36:00,100,24000,159.5
"15","ADRIFT_025",2022-06-21 12:44:00,2022-06-25 10:50:00,100,24000,159.1
"16","ADRIFT_027",2022-07-26 08:14:00,2022-07-30 11:00:00,100,24000,159.3
"17","ADRIFT_028",2022-07-26 10:30:00,2022-07-30 11:00:00,100,24000,159.2
"18","ADRIFT_030",2022-07-28 12:00:00,2022-08-01 04:28:00,100,24000,159.3
"19","ADRIFT_031",2022-07-28 12:00:00,2022-08-01 02:00:00,100,24000,159.5
"20","ADRIFT_032",2022-09-12 22:52:00,2022-09-15 12:42:00,100,24000,159.5
"21","ADRIFT_033",2022-09-12 21:22:00,2022-09-15 11:36:00,100,24000,159.3
"22","ADRIFT_034",2022-09-27 11:38:00,2022-10-01 09:00:00,100,24000,159.2
"23","ADRIFT_036",2022-11-16 09:00:00,2022-11-19 23:36:00,100,24000,159.5
"24","ADRIFT_037",2022-11-16 09:00:00,2022-11-21 02:58:00,100,24000,159.3
"25","ADRIFT_038",2022-11-16 09:00:00,2022-11-19 19:28:00,100,24000,159.3
"26","ADRIFT_039",2022-12-13 12:00:00,2022-12-17 03:00:00,100,24000,159.5
"27","ADRIFT_040",2022-12-13 12:00:00,2022-12-19 09:42:00,100,24000,159.3
"28","ADRIFT_041",2022-12-13 12:00:00,2022-12-17 07:50:00,100,24000,159.3
"29","ADRIFT_042",2023-03-16 12:30:00,2023-03-20 17:42:00,100,24000,159.5
"30","ADRIFT_043",2023-03-16 11:52:00,2023-03-17 04:26:00,100,24000,159.4
"31","ADRIFT_045",2023-03-16 12:00:00,2023-03-20 04:38:00,100,24000,159.3
"32","ADRIFT_046",2023-03-11 11:00:00,2023-03-16 14:28:00,100,24000,159.1
"33","ADRIFT_047",2023-03-11 11:30:00,2023-03-16 14:10:00,100,24000,159.3
"34","ADRIFT_048",2023-03-11 11:54:00,2023-03-18 11:10:00,100,24000,159.4
"35","ADRIFT_049",2023-03-11 12:36:00,2023-03-16 10:40:00,100,24000,159.1
"36","ADRIFT_050",2023-03-11 13:00:00,2023-03-16 12:58:00,100,24000,159.4
"37","ADRIFT_051",2023-03-11 13:30:00,2023-03-16 12:22:00,100,24000,159.2
"38","ADRIFT_052",2023-03-11 13:54:00,2023-03-16 15:52:00,100,24000,159.1
"39","ADRIFT_053",2023-03-11 14:18:00,2023-03-16 16:28:00,100,24000,159.1
"40","ADRIFT_054",2023-03-16 11:30:00,2023-03-18 09:58:00,100,24000,159.5
"41","ADRIFT_055",2023-03-16 11:30:00,2023-03-18 10:00:00,100,24000,159.3
"42","ADRIFT_058",2023-04-13 00:50:00,2023-04-16 10:00:00,100,24000,159.5
"43","ADRIFT_059",2023-04-12 23:16:00,2023-04-16 11:16:00,100,24000,159.4
"44","ADRIFT_061",2024-02-29 19:51:29,2024-02-29 19:51:29,NA,NA,NA
"45","ADRIFT_062",2023-04-25 20:38:00,2023-04-28 22:26:00,100,24000,159.5
"46","ADRIFT_063",2023-04-25 20:04:00,2023-04-28 20:42:00,100,24000,159.4
"47","ADRIFT_065",2023-04-25 20:00:00,2023-04-28 23:46:00,100,24000,159.3
"48","ADRIFT_067",2023-05-07 21:18:00,2023-05-11 18:46:00,100,24000,159.1
"49","ADRIFT_068",2023-05-06 17:30:00,2023-05-09 09:36:00,100,24000,159.5
"50","ADRIFT_070",2023-05-06 17:52:00,2023-05-06 18:52:00,100,24000,159.2
"51","ADRIFT_071",2023-05-06 18:00:00,2023-05-06 19:00:00,100,24000,159.3
"52","ADRIFT_072",2023-05-17 12:44:00,2023-05-21 01:00:00,100,24000,159.5
"53","ADRIFT_073",2023-05-17 11:38:00,2023-05-20 23:26:00,100,24000,159.4
"54","ADRIFT_075",2023-05-17 12:26:00,2023-05-21 01:58:00,100,24000,159.3
"55","ADRIFT_077",2023-07-17 12:02:00,2023-07-21 01:32:00,100,24000,159.4
"56","ADRIFT_078",2023-07-17 13:04:00,2023-07-21 04:20:00,100,24000,159.3
"57","ADRIFT_079",2023-07-11 12:54:00,2023-07-16 09:22:00,100,24000,159.2
